"property_type","state_name","surface_covered_in_m2","rooms","price"
"2","16",420,4,1500000
"1","13",134,1,850000
"1","13",330,1,1490000
"1","16",68,3,191000
"1","16",69,2,285000
"2","16",800,4,3500000
"1","16",59,2,182600
"1","16",208,5,1200000
"1","16",200,4,900000
"1","16",129,3,670000
"1","16",220,4,855000
"1","16",157,3,780000
"2","16",241,1,580000
"1","16",185,2,1000000
"2","16",233,3,710000
"2","16",320,2,1150000
"1","8",53,1,219900
"1","16",175,1,1500000
"2","13",155,1,420000
"2","16",218,1,850000
"2","3",250,2,850000
"1","16",130,1,900000
"1","16",52,1,245000
"2","16",62,2,157000
"2","16",120,1,399980
"1","16",142,10,1700000
"2","16",60,1,250000
"1","16",193,10,1650000
"2","16",151,2,650000
"1","16",105,2,820000
"2","16",210,3,850000
"1","16",123,2,510000
"2","16",390,3,1800000
"2","16",60,1,210000
"2","16",269,2,549995
"2","16",750,3,1000000
"1","13",201,2,5500000
"2","16",452,3,2100000
"1","16",381,2,3600000
"1","16",224,3,2000000
"2","11",69,1,120000
"2","16",800,4,1000000
"2","16",335,4,1600000
"2","16",60,2,159900
"1","16",61,1,230000
"1","16",220,2,2200000
"1","16",330,4,2200000
"1","16",80,2,645000
"1","16",195,2,1900000
"2","16",199,2,600000
"1","16",37,1,210000
"2","16",60,1,349000
"1","13",45,1,655000
"2","16",135,2,250000
"2","16",400,7,800000
"2","16",420,4,1850000
"2","16",395,4,1100000
"2","16",84,1,225000
"1","16",76,1,230000
"2","8",697,2,2500000
"1","16",51,2,300000
"2","16",320,2,900000
"1","16",142,1,630000
"2","13",250,1,1350000
"2","16",230,2,500000
"2","16",163,2,700000
"2","16",156,1,350000
"1","16",76,1,585000
"2","16",410,4,1600000
"2","16",240,3,990000
"1","16",240,3,3400000
"4","11",31,1,317000
"2","13",300,1,2500000
"2","16",295,3,1600000
"3","16",95,3,540000
"1","16",212,3,540000
"2","16",172,3,988400
"2","16",90,2,320000
"2","16",180,2,260000
"2","16",330,3,900000
"2","16",65,1,270000
"2","16",270,1,950000
"2","16",225,3,900000
"1","16",70,1,525000
"2","12",190,2,1000000
"2","16",78,2,345000
"2","16",430,4,1550000
"3","16",135,3,250000
"1","16",48,1,233000
"1","16",75,1,340000
"2","16",80,1,365000
"1","16",196,1,1775000
"1","16",37,1,185000
"1","16",72,4,300000
"1","15",175,2,2885000
"1","16",56,1,650000
"1","13",51,1,269999
"1","16",68,1,280000
"2","16",1100,4,1200000
"2","16",78,2,220000
"2","16",75,2,280000
"3","16",207,3,1300000
"2","16",100,3,470000
"2","16",63,1,250000
"2","16",45,1,171000
"2","3",253,2,1253750
"1","5",57,1,250000
"2","16",169,2,380000
"2","16",130,2,550000
"2","16",350,2,1070000
"1","16",57,2,266000
"1","16",66,3,420000
"1","16",76,1,425000
"1","1",38,1,210000
"2","16",623,4,1810000
"2","16",160,2,700000
"1","16",127,2,1150000
"2","16",107,2,650000
"2","16",144,1,500000
"2","3",62,3,145000
"2","16",450,5,1800000
"2","16",180,3,270000
"1","16",44,3,140856
"2","16",233,3,975000
"1","16",130,1,650000
"1","16",45,1,160000
"1","6",76,3,295000
"1","8",147,1,930000
"1","16",194,1,1542900
"1","16",154,3,850000
"1","16",160,3,1400000
"4","16",37,1,270000
"1","16",107,2,490000
"1","16",140,2,1100000
"1","16",242,4,989000
"2","16",565,3,3200000
"1","16",80,2,430000
"1","16",55,3,240000
"1","16",300,3,1200000
"2","16",149,2,450000
"2","16",480,4,2200000
"2","16",150,2,350000
"2","16",153,2,657000
